GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Sun Nov 02 01:10:31 MST 2025,02-Nov-2025 01:10:31.384,-121.76871024,37.3270968,0.0,3.2160000801086426,105.0,0.0,8.7101059,-0.40701428,-2.55700731,-0.054721,
Sun Nov 02 01:10:32 MST 2025,02-Nov-2025 01:10:32.383,-121.76871132,37.32709708,0.0,3.2160000801086426,105.0,0.0,9.38048267,-0.45489833,-3.58651423,0.04377395,
Sun Nov 02 01:10:33 MST 2025,02-Nov-2025 01:10:33.383,-121.76871051,37.32709654,0.0,3.2160000801086426,105.0,0.0,9.35175228,-0.42616791,-3.49553442,0.03763193,
Sun Nov 02 01:10:34 MST 2025,02-Nov-2025 01:10:34.383,-121.76870976,37.3270962,0.0,3.2160000801086426,105.0,0.0,9.10754299,-0.56024319,-3.33272886,0.00924814,
Sun Nov 02 01:10:35 MST 2025,02-Nov-2025 01:10:35.383,-121.76871098,37.3270955,0.0,3.2160000801086426,106.0,0.0,9.23682976,-0.5267244,-3.45243883,0.02562672,
Sun Nov 02 01:10:36 MST 2025,02-Nov-2025 01:10:36.384,-121.76871158,37.32709516,0.0,3.2160000801086426,106.0,0.0,9.39005947,-0.46447513,-3.63439822,0.0464794,
Sun Nov 02 01:10:37 MST 2025,02-Nov-2025 01:10:37.384,-121.76871156,37.32709475,0.0,3.2160000801086426,105.0,0.0,9.22725296,-0.56503159,-3.44286203,0.02458853,
Sun Nov 02 01:10:38 MST 2025,02-Nov-2025 01:10:38.384,-121.76871254,37.32709469,0.0,3.2160000801086426,105.0,0.0,9.35654068,-0.47405192,-3.67749381,0.0449397,
Sun Nov 02 01:10:39 MST 2025,02-Nov-2025 01:10:39.383,-121.76871293,37.32709427,0.0,3.2160000801086426,105.0,0.0,9.16021538,-0.51714754,-3.37582445,0.01554978,
Sun Nov 02 01:10:40 MST 2025,02-Nov-2025 01:10:40.383,-121.76871283,37.32709426,0.0,3.2160000801086426,105.0,0.0,9.0692358,-0.54108959,-3.49553442,0.01131463,
Sun Nov 02 01:10:41 MST 2025,02-Nov-2025 01:10:41.383,-121.76871264,37.32709418,0.0,3.2160000801086426,105.0,0.0,9.31823349,-0.56981999,-3.43328524,0.03295916,
